[0, 0]:	aakkoset - алфавит
[414, 414]:	filmin - пленку (от filmi)
[4140, 4140]:	valuutanvaihdosta - об обмене валюты
[4141, 4141]:	valuutanvaihto - обмен валюты
[4142, 4142]:	valuutassa - в валюте
[4143, 4143]:	valuutta - валюта
[4144, 4144]:	valuuttaa - валюту
[4145, 4145]:	vamma - травма
[4146, 4146]:	vanha - старый
[4147, 4147]:	vanhainkoti - дом престарелых
[4148, 4148]:	vanhemmat - родители
[4149, 4149]:	vanhempanne - ваши родители
[415, 415]:	filmitähti - звезда экрана, телезвезда
[4150, 4150]:	vanhempi - старше, старший, родитель
[4151, 4151]:	vanhentua - устаревать
[4152, 4152]:	vanhuus - старость
[4153, 4153]:	vankeus - тюремное заключение, содержание в тюрьме
[4154, 4154]:	vanu - вата
[4155, 4155]:	vanua - сваляться, скататься
[4156, 4156]:	vanukas - пудинг
[4157, 4157]:	vapaa - свободный
[4158, 4158]:	vapaapäivä - выходной день
[4159, 4159]:	vapautua - освободиться
[416, 416]:	flunssa - грипп
[4160, 4160]:	varannut - забронировал
[4161, 4161]:	vararengas - запасное колесо
[4162, 4162]:	vararenkaan - запасное колесо (от vararengas)
[4163, 4163]:	varas - вор, воровка
[4164, 4164]:	varata - бронировать, заказывать, запасать
[4165, 4165]:	varattu - место занято
[4166, 4166]:	varauksen - броня (от varaus)
[4167, 4167]:	varaus - броня
[4168, 4168]:	varautua - опираться на что-либо 
[4169, 4169]:	varhain - рано
[417, 417]:	fresko - фреска
[4170, 4170]:	varis - ворона
[4171, 4171]:	varjella - беречь, охранять
[4172, 4172]:	varma - уверенный
[4173, 4173]:	varmaan - вероятно, наверное
[4174, 4174]:	varmasti - вероятно, наверно, наверняка
[4175, 4175]:	varoa - остерегаться
[4176, 4176]:	varokaa - осторожно (от varoa)
[4177, 4177]:	varrella - около, на, у
[4178, 4178]:	varsa - жеребенок
[4179, 4179]:	varsinainen - основной, настоящий
[418, 418]:	fyysikko - физик
[4180, 4180]:	varsinkin - особенно
[4181, 4181]:	varta vasten - специально
[4182, 4182]:	vartalo - туловище, основа слова, корень слова
[4183, 4183]:	varteen - учитывать
[4184, 4184]:	varten - для
[4185, 4185]:	vartija - часовой, караульный
[4186, 4186]:	vartio - караул, охрана
[4187, 4187]:	vartioida - сторожить, караулить, охранять
[4188, 4188]:	vartioimaton - неохраняемый
[4189, 4189]:	varvas - палец ноги
[419, 419]:	galleria - галерея
[4190, 4190]:	vasemmalle - налево
[4191, 4191]:	vasen - левый
[4192, 4192]:	vasikanlihakyljys - телячья отбивная
[4193, 4193]:	vasikka - теленок
[4194, 4194]:	Vaskiratsastaja - Медный всадник
[4195, 4195]:	vasta - только, лишь
[4196, 4196]:	niin metsä vastaa - как аукнется
[4197, 4197]:	vastaan - против, навстречу
[4198, 4198]:	vastaanottosali - зал для приемов, зал приемов
[4199, 4199]:	vastaanottaja - грузополучатель, товарополучатель, адресат
[42, 42]:	aisti - чувство, чутье
[420, 420]:	geenit - гены
[4200, 4200]:	vastaanotto-osasto - отдел приема
[4201, 4201]:	vastaanotto - прием, встреча
[4202, 4202]:	vastaanottotarkastus - приемочный контроль, контроль при приемке
[4203, 4203]:	vastaanottoaika - время приема, время получения
[4204, 4204]:	vastata - отвечать
[4205, 4205]:	vastaus - ответ
[4206, 4206]:	vastustuskyky - сопротивляемость
[4207, 4207]:	vatkuli - эскалоп
[4208, 4208]:	vatsalaukku - желудок
[4209, 4209]:	vatsatauti - желудочное заболевание
[421, 421]:	golf - гольф
[4210, 4210]:	vauhti - скорость
[4211, 4211]:	vaunu - вагон
[4212, 4212]:	vaununhoitaja - проводник вагона
[4213, 4213]:	vaununosasto - купе
[4214, 4214]:	vaununosastoon - в купе
[4215, 4215]:	vaunupalvelija - проводник
[4216, 4216]:	vauva - младенец, ребенок
[4217, 4217]:	vedellä - водой
[4218, 4218]:	veden - воду
[4219, 4219]:	vehnäjauho - пшеничная мука
[422, 422]:	golfia - в гольф (от golf)
[4220, 4220]:	veistos - скульптура
[4221, 4221]:	veitsi - нож
[4222, 4222]:	veli - брат
[4223, 4223]:	velka - долг
[4224, 4224]:	velkaa - должен
[4225, 4225]:	veloituksetta - бесплатно
[4226, 4226]:	vene - лодка
[4227, 4227]:	venytellä - потягиваться
[4228, 4228]:	Venäjä - Россия
[4229, 4229]:	venäjän kieli - русский язык
[423, 423]:	graafikko - художник-график
[4230, 4230]:	venäläinen - русский
[4231, 4231]:	verenpaine - кровяное давление
[4232, 4232]:	veri - кровь
[4233, 4233]:	verkkari - тренировочный костюм
[4234, 4234]:	verkko - сеть, сетка
[4235, 4235]:	vero - налог
[4236, 4236]:	veroja - налоги
[4237, 4237]:	verottaa - облагать налогом
[4238, 4238]:	verrata - сравнивать
[4239, 4239]:	verrattain - сравнительно
[424, 424]:	grafiikka - графика
[4240, 4240]:	verrytellä - разминаться
[4241, 4241]:	verryttelypuku - тренировочный костюм
[4242, 4242]:	vertainen - равный
[4243, 4243]:	vesa - побег, ветка
[4244, 4244]:	vesi - вода
[4245, 4245]:	vesihiihtoa - водными лыжами
[4246, 4246]:	vesijohto - водопровод
[4247, 4247]:	vesistö - воды, водная система
[4248, 4248]:	vesivärit - акварельные краски
[4249, 4249]:	vessapaperi - туалетная бумага
[425, 425]:	gramma - грамм
[4250, 4250]:	vettä hylkivä kangas - водоотталкивающая ткань
[4251, 4251]:	vety - водород
[4252, 4252]:	vetää - тянуть, тащить
[4253, 4253]:	vetää puoleensa - притягивать, сквозить,
[4254, 4254]:	video - видеоаппаратура
[4255, 4255]:	videonauhuri - видеомагнитофон
[4256, 4256]:	videookasetti - видеокассета
[4257, 4257]:	vie - ведет
[4258, 4258]:	viedä I - 1. нести, уносить, относить
[4259, 4259]:	viekää - отвезите
[426, 426]:	granaattiomena - гранат
[4260, 4260]:	vielä - еще
[4261, 4261]:	viemäri - канализация
[4262, 4262]:	Vienanmeri - Белое море
[4263, 4263]:	vieraanvaraisuudesta - за гостеприимство
[4264, 4264]:	vieraanvaraisuus - гостеприимство
[4265, 4265]:	vierailu - визит
[4266, 4266]:	vieraittemme - наших гостей (от vieras)
[4267, 4267]:	vieras - 1. гость, 2. чужой
[4268, 4268]:	vieressä - рядом, возле, у
[4269, 4269]:	viesti - эстафета
[427, 427]:	grape - грейпфрут
[4270, 4270]:	viestittää - передавать информацию
[4271, 4271]:	viettää - отмечать, проводить время
[4272, 4272]:	vietämme - отмечаем
[4273, 4273]:	vihainen - сердитый, злой
[4274, 4274]:	vihannekset - овощи
[4275, 4275]:	vihanneksia - овощей
[4276, 4276]:	vihannes - овощь
[4277, 4277]:	vihanneskauppa - овощной магазин
[4278, 4278]:	vihdoinkin - наконец-то
[4279, 4279]:	viheltää - свистеть
[428, 428]:	haalea - прохладный
[4280, 4280]:	vihje - намек
[4281, 4281]:	vihkiä - венчать
[4282, 4282]:	vihko - тетрадь
[4283, 4283]:	vihollinen - враг
[4284, 4284]:	vihreä - зеленый
[4285, 4285]:	viides - пятый
[4286, 4286]:	viihdemusiikki - эстрадная музыка
[4287, 4287]:	viihdytte - вам понравится
[4288, 4288]:	viihtyisä - уютный
[4289, 4289]:	viihtyä - быть довольным, чувствовать себя хорошо
[429, 429]:	haarukka - вилка
[4290, 4290]:	viikko - неделя
[4291, 4291]:	viikon - неделю
[4292, 4292]:	viikonloppu - конец недели, выходные
[4293, 4293]:	viikonpäivät - дни недели
[4294, 4294]:	viilettää - бежать во весь дух, мчаться, нестись
[4295, 4295]:	viileä - прохладный
[4296, 4296]:	viiltävä - острая
[4297, 4297]:	viime - прошлый
[4298, 4298]:	viimeinen - последний
[4299, 4299]:	viimeksi - в прошлый раз
[43, 43]:	aita - забор, ограда
[430, 430]:	haastatella - беседовать, разговаривать
[4300, 4300]:	viina - водка
[4301, 4301]:	viini - вино
[4302, 4302]:	viinirypäle - виноград
[4303, 4303]:	viinirypäletuoremehu - виноградный сок
[4304, 4304]:	viinistä - вино
[4305, 4305]:	viipyy - будет
[4306, 4306]:	viipyä - быть
[4307, 4307]:	viirejä - вымпелами
[4308, 4308]:	viiri - вымпел
[4309, 4309]:	viisas - умный
[431, 431]:	haastattelu - интервью
[4310, 4310]:	viisi - пять
[4311, 4311]:	viisikymmentä - пятьдесят
[4312, 4312]:	viisitoista - пятнадцать
[4313, 4313]:	viisivuotias - пятилетний
[4314, 4314]:	viisumi - виза
[4315, 4315]:	viitata - ссылаться, указывать
[4316, 4316]:	viitoittaa - отмечать вехами
[4317, 4317]:	viiva - линия, черта
[4318, 4318]:	viivymme - мы пробудем
[4319, 4319]:	viivästyttää - задерживаться, медлить, опоздать
[432, 432]:	haaste - вызов
[4320, 4320]:	vilahdella - мелькать
[4321, 4321]:	vilkas - оживленный
[4322, 4322]:	villa - шерсть
[4323, 4323]:	villapaita, villapaidan - шерстяной свитер
[4324, 4324]:	villapusero, villapuseron - шерстяная кофта
[4325, 4325]:	villi - дикий
[4326, 4326]:	vilustua - простужаться
[4327, 4327]:	vilustuminen - простуда
[4328, 4328]:	vilustumiseen - от простуды
[4329, 4329]:	viluttaa - тошнить
[433, 433]:	haava - рана
[4330, 4330]:	vintillä - чердак-
[4331, 4331]:	vinttikomero - чердак--
[4332, 4332]:	virallinen - официальный
[4333, 4333]:	virasto - учреждение
[4334, 4334]:	virastossa - в учреждении
[4335, 4335]:	virhe - ошибка
[4336, 4336]:	virheellinen - ошибочный
[4337, 4337]:	virkailijaa - чиновники
[4338, 4338]:	virkamatka - служебная командировка
[4339, 4339]:	virkistysmahdollisuus - возможность для отдыха
[434, 434]:	haaveilla - мечтать
[4340, 4340]:	virkistää - взбадривать
[4341, 4341]:	virolainen - эстонец, эстонка
[4342, 4342]:	virsta - верста
[4343, 4343]:	virtaus - течение
[4344, 4344]:	vispikerma - взбитые сливки
[4345, 4345]:	vispilä - венчик
[4346, 4346]:	vittu - пизда
[4347, 4347]:	vittun - иди в пизду
[4348, 4348]:	viulu - скрипка
[4349, 4349]:	voi hyvin - будь здоров!
[435, 435]:	hahmo - образ, фигура
[4350, 4350]:	voi I - масло
[4351, 4351]:	voi II - ой, ах
[4352, 4352]:	voida - мочь, быть в состоянии
[4353, 4353]:	voiko - можно?
[4354, 4354]:	voileipiä - бутерброды
[4355, 4355]:	voileipä - бутерброд
[4356, 4356]:	voileipäpöytä - шведский стол
[4357, 4357]:	voima - сила
[4358, 4358]:	voimakas - сильный
[4359, 4359]:	voimistella - заниматься физкультурой (гимнастикой)
[436, 436]:	haista - пахнуть
[4360, 4360]:	voimistelu - физкультура, гимнастика
[4361, 4361]:	voimistelusaliin - в гимнастический зал
[4362, 4362]:	voin - я чувствую себя
[4363, 4363]:	voin huonosti - плохо себя чуствую
[4364, 4364]:	voin hyvin - чуствую себя хорошо
[4365, 4365]:	voinko - могу ли?
[4366, 4366]:	voisi - можно
[4367, 4367]:	voisiko - можно ли?
[4368, 4368]:	voisimme - можем
[4369, 4369]:	voisin - я бы мог
[437, 437]:	haistaa - нюхать
[4370, 4370]:	voisinko - могу ли я?
[4371, 4371]:	voisitteko - не могли бы вы?
[4372, 4372]:	voita - масло
[4373, 4373]:	voiton - победой
[4374, 4374]:	voittaa - побеждать
[4375, 4375]:	voittaja - победитель
[4376, 4376]:	voitte - вы можете
[4377, 4377]:	voitteko - вы можете?
[4378, 4378]:	voitto - победа
[4379, 4379]:	votka - водка
[438, 438]:	haitta - помеха, вред
[4380, 4380]:	vuode - постель
[4381, 4381]:	vuoden - лет (от vuosi)
[4382, 4382]:	vuodenajat - времена года
[4383, 4383]:	vuodepotilas - лежачий больной
[4384, 4384]:	vuodevaatteet - постельное белье
[4385, 4385]:	vuokra-asunto - наемная квартира
[4386, 4386]:	vuokrata - арендовать, нанимать (квартиру)
[4387, 4387]:	vuoksi - из-за, ради
[4388, 4388]:	vuonna - в году
[4389, 4389]:	vuori - гора
[439, 439]:	hajamielinen - рассеянный
[4390, 4390]:	vuoristo - горы
[4391, 4391]:	vuoro - очередь
[4392, 4392]:	työvuoro - смена
[4393, 4393]:	vuorokausi - cyтки
[4394, 4394]:	vuorotellen - по очереди, поочередно
[4395, 4395]:	vuorotyö - сменная работа
[4396, 4396]:	vuorovaikutus - взаимодействие, взаимовлияние
[4397, 4397]:	vuosi - год
[4398, 4398]:	vuosipäivä - годовщина
[4399, 4399]:	vuosipäivää - годовщину
[44, 44]:	aito - настоящий
[440, 440]:	hajota - разваливаться, разрушаться
[4400, 4400]:	vuosisata - век, столетие
[4401, 4401]:	vuosittain - ежегодно
[4402, 4402]:	vuotaa - течь, литься
[4403, 4403]:	vuotta - года
[4404, 4404]:	vyötarö - талия
[4405, 4405]:	vyötäisiä - до пояса
[4406, 4406]:	väen - народ
[4407, 4407]:	vähentää - уменьшать
[4408, 4408]:	vähitellen - понемногу
[4409, 4409]:	vähän - немного, мало
[441, 441]:	hajuvesi - духи (жидкость)
[4410, 4410]:	väistellä - сторониться, избегать
[4411, 4411]:	väistämätön - неизбежный, неминуемый
[4412, 4412]:	väitellä I - дискутировать
[4413, 4413]:	väitellä II - защищать диссертацию
[4414, 4414]:	väittely - спор, дискуссия
[4415, 4415]:	väittää - утверждать, уверять
[4416, 4416]:	väittää vastaan - возражать, утверждать обратное
[4417, 4417]:	väitöstilaisuus - защита диссертации, 2. диспут
[4418, 4418]:	väkevä - крепкий
[4419, 4419]:	väkevää - крепкого
[442, 442]:	hajuvettä - духи (неодуш.)
[4420, 4420]:	väki - народ
[4421, 4421]:	väkiluku - численность населения
[4422, 4422]:	väliaika - перерыв, антракт
[4423, 4423]:	välilasku - посадка в пути
[4424, 4424]:	välilaskuton - беспосадочный рейс
[4425, 4425]:	välipalaa - перекусить
[4426, 4426]:	välissä - между
[4427, 4427]:	välittömästi - непосредственно
[4428, 4428]:	välitys - передача, трансляция
[4429, 4429]:	väljä - велико
[443, 443]:	hakata - рубить
[4430, 4430]:	välkkyä - блестеть, сверкать, переливаться
[4431, 4431]:	värejä - цвета
[4432, 4432]:	väri - цвет
[4433, 4433]:	värifilmi - цветная фотопленка
[4434, 4434]:	värisen - цвет
[4435, 4435]:	väristä - цвета
[4436, 4436]:	värit - цвета (множ.)
[4437, 4437]:	väsymys - усталость
[4438, 4438]:	väsymätön - неутомимый
[4439, 4439]:	väsynyt - усталый
[444, 444]:	hakea - искать, доставать
[4440, 4440]:	väsyttää - утомлять, уставать
[4441, 4441]:	väsyä - уставать
[4442, 4442]:	vävy - зять
[4443, 4443]:	vääjäämätön - неизбежный, бесспорный
[4444, 4444]:	vääntää - гнуть, крутить, вертеть
[4445, 4445]:	väärin - неправильно
[4446, 4446]:	vääryys - несправедливость
[4447, 4447]:	väärä - кривой, изогнутый, 2. неправильный, ошибочный
[4448, 4448]:	väärällä - на неправильной
[4449, 4449]:	ydinkokeet - испытания атомного оружия
[445, 445]:	halailla - обниматься
[4450, 4450]:	yhdeksän - девять
[4451, 4451]:	yhdeksänkymmentä - девяносто
[4452, 4452]:	yhdeksäntoista - девятнадцать
[4453, 4453]:	yhdeksäs - девятый
[4454, 4454]:	yhden - одно-
[4455, 4455]:	yhdenhengen - одноместный
[4456, 4456]:	yhdenmukainen - одинаковый
[4457, 4457]:	yhdenmukaistaa - унифицировать
[4458, 4458]:	yhdessä - вместе, совместно
[4459, 4459]:	yhdet - один
[446, 446]:	halaus - объятие
[4460, 4460]:	yhdyssana - сложное слово
[4461, 4461]:	Yhdysvallat - Соединенные Штаты Америки
[4462, 4462]:	yhteensä - всего
[4463, 4463]:	yhteinen - общий
[4464, 4464]:	yhteiskunta - общество
[4465, 4465]:	yhteistyö - сотрудничество
[4466, 4466]:	yhtye - ансамбль
[4467, 4467]:	yhtä - на один
[4468, 4468]:	yhtään - совсем, вовсе
[4469, 4469]:	yhä - все еще
[447, 447]:	halla - ночные заморозки
[4470, 4470]:	ykkönen - первый
[4471, 4471]:	yksi - один
[4472, 4472]:	yksin - один, в одиночестве
[4473, 4473]:	yksinkertainen - простой
[4474, 4474]:	yksinkertaistaa - упрощать
[4475, 4475]:	yksipuolinen - односторонний
[4476, 4476]:	yksitoista - одиннадцать
[4477, 4477]:	yksityisalue - частная территория
[4478, 4478]:	yksiö - однокомнатная квартира
[4479, 4479]:	yleensä - вообще, обычно
[448, 448]:	hallinto - управление
[4480, 4480]:	yleinen - общий
[4481, 4481]:	yleistä - общие понятия
[4482, 4482]:	yleisurheilija - легкоатлет
[4483, 4483]:	yleisö - публика, общественность
[4484, 4484]:	yleisöpuhelin - телефон общего пользования
[4485, 4485]:	yli - сверх, больше, через
[4486, 4486]:	ylihuomenna - послезавтра
[4487, 4487]:	ylimääräisen - еще одно
[4488, 4488]:	ylimääräinen - лишний, избыточный
[4489, 4489]:	ylin - верхний, высший
[449, 449]:	hallitus - правительство
[4490, 4490]:	yliopisto - университет
[4491, 4491]:	yliopistossa - в университете
[4492, 4492]:	ylioppilas - студент
[4493, 4493]:	ylioppilastutkinto - экзамен на аттестат зрелости
[4494, 4494]:	ylipäänsä - вообще
[4495, 4495]:	ylistää - прославлять
[4496, 4496]:	ylitys - превышение
[4497, 4497]:	ylläpitää - содержать
[4498, 4498]:	yllättävä - неожиданный
[4499, 4499]:	yllätys - неожиданность, сюрприз
[45, 45]:	aivan - совсем, совершенно
[450, 450]:	halpa - дешевый
[4500, 4500]:	yläikäraja - возрастное ограничение
[4501, 4501]:	yläkerta - верхний этаж
[4502, 4502]:	yläpaikan - верхнее место-
[4503, 4503]:	yläpaikka - верхнее место--
[4504, 4504]:	yläpuolella - над, выше (где), поверх
[4505, 4505]:	yläpuolelle - над, выше (куда), поверх
[4506, 4506]:	yläpuolelta - над, выше (откуда), поверх
[4507, 4507]:	yläpää - верхний конец
[4508, 4508]:	yläruumis - верхняя часть туловища
[4509, 4509]:	ylös - наверх, вверх
[451, 451]:	halu - желание, охота
[4510, 4510]:	ylösnousemuksen - в воскресение, религ.
[4511, 4511]:	ylösnousemuksesta - из воскресения, религ.
[4512, 4512]:	ylösnousemus - воскресение, религ.
[4513, 4513]:	ylöspäin - вверх, кверху
[4514, 4514]:	ym - и прочее
[4515, 4515]:	ymmälle - спешить, оторопеть
[4516, 4516]:	ymmällä - быть а недоумении
[4517, 4517]:	ymmärrys - ум, разум
[4518, 4518]:	ymmärrä - он не понимает
[4519, 4519]:	ymmärrän - понимаю
[452, 452]:	haluaisin - я бы хотел (от haluta)
[4520, 4520]:	ymmärrättekö - понимаете
[4521, 4521]:	ymmärtäminen - понимание
[4522, 4522]:	ymmärtää - понимать
[4523, 4523]:	ymppäys - прививка
[4524, 4524]:	ympyrä - круг
[4525, 4525]:	ympäri - вокруг, кругом
[4526, 4526]:	ympäristö - окрестность
[4527, 4527]:	yms - и тому подобное
[4528, 4528]:	yrittää - пытаться
[4529, 4529]:	yskikää - покашляйте
[453, 453]:	haluaisitte - вы бы хотели (от haluta)
[4530, 4530]:	yskiä - кашлять
[4531, 4531]:	yskä - кашель
[4532, 4532]:	ystävyydelle - за дружбу
[4533, 4533]:	ystävä - друг
[4534, 4534]:	ystävällinen - приветливый, радушный
[4535, 4535]:	ystävät - друзья
[4536, 4536]:	ystäväyys - дружба
[4537, 4537]:	yö - ночь
[4538, 4538]:	yökerho - ночной клуб
[4539, 4539]:	yöllä - ночью
[454, 454]:	haluaisitteko - вы бы хотели? (от haluta)
[4540, 4540]:	yön - сутки
[4541, 4541]:	yöpaita - ночная сорочка
[4542, 4542]:	yöpyä - заночевать
[4543, 4543]:	yötä - ночи
[4544, 4544]:	hyvä yötta - спокойной ночи
[4545, 4545]:	äiti - мать
[4546, 4546]:	äitienpäivä - день матери, праздник в Финляндии во второе воскресенье мая
[4547, 4547]:	äkkinäisesti - внезапно
[4548, 4548]:	äkkipikainen - скоропалительный
[4549, 4549]:	älykkyys - сообразительность
[455, 455]:	haluan - я хочу (от haluta)
[4550, 4550]:	älä - не
[4551, 4551]:	älä mene - не ходи!
[4552, 4552]:	älä tee sitä - не делай этого!
[4553, 4553]:	älä! - хватит!, довольно!
[4554, 4554]:	äskettäin - недавно
[4555, 4555]:	ääni - звук, голос
[4556, 4556]:	äänilevy - пластинка
[4557, 4557]:	äänilevyjä - грампластинки
[4558, 4558]:	ääninen - Онежское озеро
[4559, 4559]:	äänittää - озвучивать
[456, 456]:	haluatte - вы хотите (от haluta)
[4560, 4560]:	ääntää - произносить
[4561, 4561]:	äärellä - около, возле, у
[4562, 4562]:	öljy - масло
[4563, 4563]:	öljymaali - масляная краска
[4564, 4564]:	öljymäinen - маслянистый
[4565, 4565]:	ötökkä - букашка, козявка
[4566, 4566]:	öykkäröigä - 1. хвастаться
[4567, 4567]:	huvittava - забавный
[4568, 4568]:	huopa - фетр, войлок
[4569, 4569]:	kilpaa - наперегонки
[457, 457]:	haluatteko - вы хотите? (от haluta)
[4570, 4570]:	välillä - иногда, время от времени
[4571, 4571]:	ope - училка- (разг.), учитель
[4572, 4572]:	maikka - училка-- (разг.), учитель
[4573, 4573]:	ilmainen - бесплатный
[4574, 4574]:	saada kiinni - поймать
[4575, 4575]:	välittää - передавать, транслировать
[4576, 4576]:	purra - кусать, укусить, жалить
[4577, 4577]:	piilottaa - прятать, спрятать
[4578, 4578]:	välttyä - избегать
[4579, 4579]:	olla tapana - быть приятным
[458, 458]:	haluta - хотеть
[4580, 4580]:	perinteinen - традиционный
[4581, 4581]:	ihailla - восхищаться, обожать
[4582, 4582]:	äsken - только что, недавно
[4583, 4583]:	uusia - обновить
[4584, 4584]:	pahaa - плохой, дурной, нехороший
[4585, 4585]:	kuivata - сушить
[4586, 4586]:	todennäköinen - вероятный, очевидный
[4587, 4587]:	sikin sokin - в беспорядке, вперемешку, как попало
[4588, 4588]:	toivoton - безнадежный, безвыходный, отчаянный, отчаивающийся, находящийся в отчаянии
[4589, 4589]:	siksi, sen tähden - поэтому, потому, из-за этого
[459, 459]:	halvan - дешевый (от halpa)
[4590, 4590]:	jalkamatka - путешествие пешком, прогулка пешком, пешая прогулка
[4591, 4591]:	heitteille jätetty lapsi - безнадзорный ребенок
[4592, 4592]:	ruukku - горшок, кувшин
[4593, 4593]:	irrottaa - оторвать
[4594, 4594]:	raaputtaa - подчищать, подчистить
[4595, 4595]:	pensseli, sivellin - кисть, кисточка
[4596, 4596]:	pienempi - субмикроскопический
[4597, 4597]:	meikata - румянить, подрумянивать
[4598, 4598]:	kiillottaa - полировать, придавать блеск, наводить глянец
[46, 46]:	ajaa - ехать
[460, 460]:	hame - юбка
[461, 461]:	hameen - юбку (от hame)
[462, 462]:	hammas - зуб
[463, 463]:	hammasharja - зубная щетка
[464, 464]:	hammaslääkäri - зубной врач
[465, 465]:	hammassärky - зубная боль
[466, 466]:	hammassärkyyn - от зубной боли (от hammassдrky)
[467, 467]:	hammasta - зуб (от hammas)
[468, 468]:	hammastahna - зубная паста
[469, 469]:	hampaaton - беззубый
[47, 47]:	ajaa partaa - бриться
[470, 470]:	hankala - трудный, неудобный
[471, 471]:	hanke - замысел, затея
[472, 472]:	hanki - сугроб
[473, 473]:	hankkia - доставать, добывать
[474, 474]:	hanuri - гармонь, баян
[475, 475]:	hapan - кислый
[476, 476]:	hapankaali - квашеная капуста
[477, 477]:	harja - щетка
[478, 478]:	harjoitella - упражняться
[479, 479]:	harjoittelija - практикант
[48, 48]:	ajakaa - поезжайте
[480, 480]:	harkita - обдумывать
[481, 481]:	harmaa - серый, (седой)
[482, 482]:	harmillinen - неприятный
[483, 483]:	harppu - арфа
[484, 484]:	harrastaa - увлекаться
[485, 485]:	harrastaja - любитель
[486, 486]:	harrastatte - вы увлекаетесь (от harrastaa)
[487, 487]:	harrastatteko - вы увлекаетесь? (от harrastaa)
[488, 488]:	harrastus - увлечение
[489, 489]:	hartiat - плечи
[49, 49]:	ajanjakso - период (времени)
[490, 490]:	harvoin - редко
[491, 491]:	hassu - смешной, нелепый
[492, 492]:	hattu - шляпа, шапка
[493, 493]:	hauska - приятный, веселый
[494, 494]:	hauskaa - приятно (от hauska)
[495, 495]:	havaita - замечать, обнаруживать, выявлять
[496, 496]:	havu - хвоя
[497, 497]:	he - они
[498, 498]:	hedelmiä - фрукты (от hadelmд)
[499, 499]:	hedelmä - плод, фрукт
[5, 5]:	aamulla - утром
[50, 50]:	ajatella - думать, мыслить
[500, 500]:	hedelmäkauppa - фруктовый магазин
[501, 501]:	hedelmäkeitto - компот
[502, 502]:	hedelmäsalaatti - фруктовый салат
[503, 503]:	hei - эй
[504, 504]:	hei kuule! - привет! Привет, послушай!
[505, 505]:	heiketä - ослабевать
[506, 506]:	heikko - слабый
[507, 507]:	heilua - качаться, колыхаться
[508, 508]:	heimo - племя, род
[509, 509]:	heinäkuu - июль
[51, 51]:	ajatus - мысль, идея
[510, 510]:	heinäkuussa - в июле (от heinдkuu)
[511, 511]:	heisipuu - калина
[512, 512]:	heittää - бросать
[513, 513]:	helistä - звенеть
[514, 514]:	helkkyä - звучать
[515, 515]:	hella - плита
[516, 516]:	hellittelysana - ласкательное слово
[517, 517]:	helmet - бусы
[518, 518]:	helmi - жемчужина
[519, 519]:	helmikuu - февраль
[52, 52]:	ajella - ездить, кататься
[520, 520]:	helposti - легко
[521, 521]:	helpottaa - облегчать
[522, 522]:	helppo - легкий
[523, 523]:	Helsinki - Хельсинки
[524, 524]:	helsinkiläinen - житель города Хельсинки
[525, 525]:	helttyä - стать чувствительным
[526, 526]:	hengittäkää - вдохните (от hengittää)
[527, 527]:	hengittää - дышать
[528, 528]:	henki - человек, персона, дух, душа
[529, 529]:	henkilö - человек, личность
[53, 53]:	ajettava - надо проехать
[530, 530]:	henkilöjuna - пассажирский поезд
[531, 531]:	henkilökohtainen - личный, персональный
[532, 532]:	henkilökohtaista - личный (от henkilцkohtainen)
[533, 533]:	henkilökunnalle - персонала
[534, 534]:	henkilöllisyystodistus - удостоверение личности
[535, 535]:	herkkä - чувствительный, впечатлительный, сентиментальный
[536, 536]:	hermo - нерв
[537, 537]:	hermosto - нервная система
[538, 538]:	hermostua - нервничать, расстраиваться
[539, 539]:	herne - горох
[54, 54]:	ajoissa - вовремя
[540, 540]:	herra - господин
[541, 541]:	herrat - господа (от herra)
[542, 542]:	herättäisittekö - вы разбудили бы (от herдttää)
[543, 543]:	herättäkää - разбудите (от herдttää)
[544, 544]:	herättää - будить
[545, 545]:	herätyskello - будильник
[546, 546]:	herätä - просыпаться
[547, 547]:	herätä henkiin - воскресать
[548, 548]:	herääminen - пробуждение
[549, 549]:	heti - сейчас, сразу
[55, 55]:	ajoittain - временами
[550, 550]:	hetki - мгновение
[551, 551]:	hetkinen - минуточка, секунда
[552, 552]:	hevonen - лошадь
[553, 553]:	hidas - медленный, медлительный
[554, 554]:	hiha - рукав
[555, 555]:	hihittää - хихикать
[556, 556]:	hiihtäjä - лыжник
[557, 557]:	hiihtää - ходить на лыжах
[558, 558]:	hiiri - мышь
[559, 559]:	hiiva - дрожжи
[56, 56]:	ajokortti - права
[560, 560]:	hikoan - потею
[561, 561]:	hikoilla - потеть
[562, 562]:	hiljaa - тихо
[563, 563]:	hiljainen - тихий
[564, 564]:	hiljaisuus - тишина
[565, 565]:	hiljattain - недавно
[566, 566]:	hillo - варенье
[567, 567]:	hilpeä - веселый, радостный
[568, 568]:	hinta - цена
[569, 569]:	hintalappu - ? ценик
[57, 57]:	ajoneuvo - транспорт
[570, 570]:	hiota - потеть
[571, 571]:	hirsi - бревно
[572, 572]:	hirvi - лось
[573, 573]:	hissi - лифт
[574, 574]:	hissitön - безлифтовый
[575, 575]:	hissukseen - не торопясь, не спеша, потихоньку
[576, 576]:	historia - история
[577, 577]:	historiaa - историю (от historia)
[578, 578]:	hitaasti - медленно
[579, 579]:	hiukset - волосы
[58, 58]:	ajoneuvoa - транспорт
